DISCOS,formato,estrellas (sobre 5),comentarios,,,
Daughters - You Won't Get What You Want,CD,4,solo segunda mano,,,
Dead Kennedys - Plastic Surgery Disasters,LP,3,,,,
Death - Scream Bloody Gore,CD,2,,,,
Death - Leprosy,CD,4,,,,
Death - Human,CD,4,,,,
Death Grips - No Love Deep Web,LP,3,cover sin censura,,,
Deftones - Around the Fur,CD,3,,,,
Deicide - Deicide,CD,1,,,,
Deicide - Legion,CD,2,,,,
Demilich - Nespithe,CD,3,cover original,,,
Demolition Hammer - Epidemic of Violence,CD,3,,,,
Descendents - Milo Goes to College,"CD, LP",4,,,,
Descendents - I Don't Want to Grow Up,CD,3,,,,
The Dillinger Escape Plan - Calculating Infinity,CD,3,,,,
Dire Straits - Dire Straits,CD,2,,,,
Disharmonic Orchestra - Not to be Undimensional Conscious,CD,2,,,,
Dismember - Like an Everflowing Stream,CD,2,,,,
Dismember - Indecent & Obscene,CD,1,,,,
Disrupt - Unrest,CD,2,,,,
Distorsión - ¡Ké Buen Dios!,CD,4,,,,
Don Caballero - What Burns Never Returns,CD,3,,,,
Don Caballero - American Don,CD,2,,,,
Doom - War Crimes: Inhuman Beings,LP,3,,,,
Dream Theater - Images And Words,CD,3,,,,
Duster - Stratosphere,"CD, LP",3,,,,
Duster - Contemporary Movement,"CD, LP",3,,,,
Dvne - Voidkind,CD,2,,,,
Dying Fetus - Killing On Adrenaline,CD,3,,,,
Dying Fetus - Destroy the Opposition,CD,3,,,,
Dying Fetus - Make Them Beg for Death,CD,2,,,,
Earth - The Bees Made Honey in the Lion's Skull,CD,3,cover con la calavera,,,
Edge of Sanity - Purgatory Afterglow,CD,2,,,,
Einstürzende Neubauten - Halber Mensch,CD,3,,,,
Electric Guest - Mondo,CD,3,,,,
Electric Wizard - Electric Wizard,CD3,3,,,,
Electric Wizard - Funeralopolis,CD,4,,,,
Entombed - Left Hand Path,CD,2,,,,
Entombed - Clandestine,CD,2,cover con logo amarillo,,,
