stars,artist,disc
3,Iron Maiden,Iron Maiden
3,John Coltrane,Giant Steps
3,Julee Cruise,Floating Into the Night
3,Kanye West,My Beautiful Dark Twisted Fantasy
3,Kase.O Jazz Magnetism,Kase.O Jazz Magnetism
3,Kate Bush,Hounds of Love
3,Kreator,Pleasure to Kill
3,La M.O.D.A.,La Primavera del Invierno
3,La M.O.D.A.,Salvavida (De las Balas Perdidas)
3,La Plata,Desorden
3,Lamb of God,Ashes of the Wake
3,Leftöver Crack,Fuck World Trade
3,Lendakaris Muertos,Cicatriz en la Matrix
3,Lendakaris Muertos,Lendakaris Muertos
3,Lendakaris Muertos,"Vine, Vi y me Vendí"
3,Lou Reed,Transformer
3,Love of Lesbian,1999
3,Macintosh Plus,Floral Shoppe
3,Mammal Hands,Shadow Work
3,Manolo Kabezabolo,2001: La Odisea Va Despacio
3,Manolo Kabezabolo,La Nueva Mayoría
3,Masayoshi Takanaka,Brasilian Skies
3,Mastodon,Leviathan
3,Melvins,(A) Senile Animal
3,Meshuggah,Chaosphere
3,Meshuggah,obZen
3,Mg?a,Exercises in Futility
3,Mg?a,With Hearts Toward None
3,Mingus,The Black Saint and the Sinner Lady
3,Misfits,Earth A.D. / Wolfs Blood
3,Misfits,Static Age
3,Molchat doma,Etazhi
3,Moondog,Moondog
3,Morbid Angel,Altars of Madness
3,Morbid Angel,Covenant
3,Nails,Abandon All Life
3,Nails,Unsilent Life
3,Nails,You Will Never Be One of Us
3,Necrophagist,Epitaph
3,Ni Por Favor Ni Ostias,El Demonio Ke Llevamos Dentro
3,Nick Drake,Pink Moon
3,Nile,Annihilation of the Wicked
3,Nine Inch Nails,The Downward Spiral
3,Non Servium,El Imperio del Mal
3,Non Servium,El Rodillo del Kaos
3,Non Servium,N.S.A. La Santa Familia
3,Obituary,Cause of Death
3,Ornette Coleman,Free Jazz
3,Pabellón Psiquiátrico,La Primera en la Frente
3,Pescado Rabioso,Artaud
3,Pestilence,Consuming Impulse
3,Pestilence,Testimony of the Ancient
3,Petra de Fenetra,Tipico Pero Cierto
3,Phlebotomized,Immense Intense Suspense
3,Psycroptic,Divine Council
3,Radiohead,A Moon Shaped Pool
3,Rivers of Nihil,Where Owls Know my Name
3,Robe,Destrozares. Canciones Para el Final de los Tiempos
3,Robe,Se Nos Lleva el Aire
3,Ryo Fukui,Scenary
3,S.O.D,Speak English or Die
3,Sadness,I Want To Be There
3,Santana,Abraxas
3,Sigh,Imaginary Sonicscape
3,Sin Dios,Ingobernables
3,Širom,The Liquified Throne of Simplicity
3,Slayer,Show no Mercy
3,Slayer,South of Heaven
3,Sleep,Dopesmoker
3,Sonic Youth,Daydream Nation
3,Sonic Youth,Goo
3,Stan Getz & João Gilberto,Getz / Gilberto
3,Steven Wilson,The Raven That Refused to Sing (And Other Stories)
3,Streetlight Manifesto,Everything Goes Numb
3,Suffocation,Pierced from Within
3,Sufjan Stevens,Carrie & Lowell
3,Suicidal Tendencies,Suicidal Tendencies
3,Sunn O))) & Ulver,Terrestrials
3,Supuration,The Cube
3,Swans,Children of God
3,Swans,My Father Will Guide Me Up a Rope to the Sky
3,Swans,The Great Annihilator
3,Talk Talk,Laughing Stock
3,The Avalanches,Since I Left You
3,The Dillinger Escape Plan,Calculating Infinity
3,The Garden,Haha
3,The Garden,Kiss My Super Bowl Ring
3,The Smile,Wall of Eyes
3,The Smiths,Hatful of Hollow
3,The Smiths,The Queen is Dead
3,Thom Yorke,The Eraser
3,Thundercat,Drunk
